,SVM,KStar,NaiveBayes,RandomSubspace,RandomForest,HoeffdingTree,NaiveBayes,AutoCorrelation,Dimensionality,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,NumberOfClasses,NumberOfFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures
cleveland,0.891604,0.860546,0.904501,0.884914,0.905948,0.887173,0.877961,-0.2251655629139073,0.0462046204620462,0.9273127762157815,83.58259734239071,0.6589423296026808,14.94534000277354,0.0,14.0,21.428571428571427,1.9801980198019802,0.14144271570014144,50.0,50.0
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.62507,0.494495,0.468608,0.46565,0.465861,0.59861,0.608366,0.9993746091307066,0.013125,,,,,2.0,21.0,4.761904761904762,0.0,0.0,0.0,100.0
rabe_148,0.992654,0.995409,0.990817,0.993572,0.991736,0.990817,0.980716,0.9846153846153847,0.09090909090909091,7.439543341581259,24.232171717171717,-0.625433689788556,57.09490128679958,0.0,6.0,0.0,0.0,0.0,100.0,0.0
fri_c4_500_50,0.935068,0.957451,0.670535,0.628314,0.663633,0.59184,0.882479,-0.09504654484929959,0.102,-1.0727654616721367,-8.478482306479284e-11,0.05318583871500227,1.0000000001407923,0.0,51.0,0.0,0.0,0.0,100.0,0.0
colleges_usnews,0.812317,0.70243,0.808596,0.782694,0.808847,0.732663,0.786783,,,,,,,,,,,,,
meta_all.arff,0.778023,0.665755,0.428505,0.711035,0.664469,0.690468,0.586872,0.37142857142857144,0.8873239436619719,12.9401515903983,56.081664144934116,1.7158412074670633,315.43181094436096,6.0,63.0,0.0,0.0,0.0,98.4126984126984,1.5873015873015872
analcatdata_asbestos,0.813455,0.850176,0.843713,0.813161,0.843126,0.78584,0.812867,0.6585365853658537,0.04819277108433735,-1.2403333647323869,147.0722891566265,0.025082469040279297,75.88386234376878,2.0,4.0,50.0,0.0,0.0,25.0,75.0
ar3,0.795455,0.763636,0.560227,0.772727,0.784091,0.75,0.747727,0.8709677419354839,0.47619047619047616,8.789840249537656,1335.099676351779,2.5201992122456063,2669.0155540600026,2.0,30.0,3.3333333333333335,0.0,0.0,96.66666666666667,3.3333333333333335
puma32H,0.946762,0.663986,0.821388,0.667945,0.665722,0.63473,0.928001,0.9663008574044684,0.0040283203125,-1.1593717464132047,0.640603809037642,-0.0021225815381199623,7.357933732322436,0.0,33.0,0.0,0.0,0.0,100.0,0.0
abalone,0.735562,0.742051,0.706693,0.723578,0.707607,0.687394,0.749584,0.2064176245210728,0.0021546564519990424,11.033153238707637,0.38270340982933754,0.6203687756176066,0.17461838890742917,28.0,9.0,0.0,0.0,0.0,77.77777777777779,22.22222222222222
fruitfly,0.461063,0.453276,0.474758,0.434076,0.381713,0.452336,0.486574,-16.653225806451612,0.04,0.7789944524450039,27.241653333333332,0.3135430433813126,11.173398006246252,0.0,5.0,0.0,0.0,0.0,60.0,40.0
analcatdata_apnea3,0.937652,0.780898,0.905869,0.901105,0.903797,0.894131,0.826352,-1456.7661469933184,0.008888888888888889,12.356970601906818,420.14555555555575,2.5079531926437326,1584.4241861008989,0.0,4.0,0.0,0.0,0.0,50.0,50.0
fri_c4_250_10,0.930499,0.901613,0.692083,0.659309,0.691537,0.717145,0.873562,-0.1285573828112453,0.044,-0.39676045737092885,-4.3129454887762894e-10,0.2847427467546045,0.999999999986185,0.0,11.0,0.0,0.0,0.0,100.0,0.0
lymph,0.936767,0.916357,0.839768,0.918192,0.909774,0.922364,0.875014,0.5034013605442177,0.12837837837837837,9.883463404163178,2.045045045045045,2.326489482053779,1.0184023049334343,4.0,19.0,47.368421052631575,0.0,0.0,15.789473684210526,84.21052631578947
analcatdata_election2000,0.994331,0.972222,0.970522,0.907029,0.975057,0.986395,0.985261,-58368.36363636364,0.23880597014925373,20.870517692438035,22381.87263681592,3.8509778419271172,33717.15640839884,0.0,16.0,0.0,0.0,0.0,93.75,6.25
