,SVM,KStar,NaiveBayes,RandomSubspace,RandomForest,HoeffdingTree,NaiveBayes,AutoCorrelation,Dimensionality,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,NumberOfClasses,NumberOfFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures
PhishingWebsites,0.996017,0.987033,0.978533,0.951117,0.980603,0.993498,0.989999,0.5140220734575719,0.002804161013116237,,,,,2.0,31.0,74.19354838709677,0.0,0.0,0.0,100.0
baseball,0.958174,0.939453,0.488553,0.806608,0.944526,0.906718,0.919455,0.830470500373413,0.012686567164179104,2.1412222749209304,637.4240550806572,0.8335889988230164,324.92966790949765,3.0,17.0,0.0,1.4925373134328357,0.08779631255487269,88.23529411764706,11.76470588235294
visualizing_galaxy,0.986583,0.992934,0.98834,0.96639,0.98888,0.99332,0.988436,-15.888198757763975,0.015479876160990712,-0.6731560827944282,334.97229514393683,-0.08925110266505305,38.66329715912361,0.0,5.0,0.0,0.0,0.0,100.0,0.0
fri_c3_100_5,0.913352,0.908279,0.679383,0.685471,0.675325,0.890828,0.828328,-0.09125356714222212,0.06,-0.21645733616949187,-8.123332247607822e-11,0.23371092802353843,0.9999999993566572,0.0,6.0,0.0,0.0,0.0,100.0,0.0
qsar-biodeg,0.928323,0.874974,0.818913,0.869034,0.894058,0.906431,0.911354,0.9971537001897534,0.03981042654028436,44.71323748559371,2.6835215743844643,3.7986392200533,1.59439601555547,2.0,42.0,2.380952380952381,0.0,0.0,97.61904761904762,2.380952380952381
grub-damage,0.648083,0.679926,0.731184,0.690787,0.726584,0.694654,0.694352,0.35064935064935066,0.05806451612903226,-0.7860425273173975,3.758064516129033,0.3805582497935957,2.0863734889803363,4.0,9.0,0.0,0.0,0.0,22.22222222222222,77.77777777777779
auto_price,0.99709,0.993122,0.989947,0.985009,0.988007,0.968254,0.996296,-2423.0696202531644,0.10062893081761007,1.1626230761417424,1321.4923773584906,0.7271725574658744,464.0198869430487,0.0,16.0,0.0,0.0,0.0,93.75,6.25
analcatdata_creditscore,0.992897,0.993658,0.998478,0.72273,0.990868,0.774226,0.986301,0.6161616161616161,0.07,6.348070081909311,74.82413333333334,1.9396714000907127,101.23405940045696,2.0,7.0,42.857142857142854,0.0,0.0,42.857142857142854,57.14285714285714
wind,0.939815,0.916894,0.866113,0.870101,0.887091,0.918133,0.926849,-3.891802829758123,0.0022817158503194404,-0.023674633224526908,14.299512726903938,0.48816539016271254,5.101580113730408,0.0,15.0,0.0,0.0,0.0,100.0,0.0
chscase_census2,0.547186,0.467843,0.471306,0.491698,0.484659,0.535245,0.527444,0.43266716791979976,0.02,4.023913191627579,19.96079809375,1.1667261920200749,4.635876644060639,0.0,8.0,0.0,0.0,0.0,100.0,0.0
fri_c3_1000_5,0.972888,0.965886,0.714629,0.693376,0.722153,0.967136,0.937998,-0.12870232880826782,0.006,-0.3339947179631272,-2.5390006153092067e-11,0.27280678404407294,0.9999999998249032,0.0,6.0,0.0,0.0,0.0,100.0,0.0
zoo,0.997509,0.99928,0.995732,0.984483,0.999464,0.997558,0.994694,0.35,0.16831683168316833,-0.5986300839021861,2.8415841584158414,0.1394271018244117,2.0333847312662052,7.0,17.0,88.23529411764706,0.0,0.0,5.88235294117647,94.11764705882352
rmftsa_ctoarrivals,0.985574,0.799885,0.987244,0.987396,0.985118,0.988489,0.96319,-26506.817490494297,0.011363636363636364,-0.7145287270072346,58539.018939393856,0.4410859047444748,43184.47457230778,0.0,3.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333
CostaMadre1,0.777132,0.688902,0.475724,0.524123,0.700836,0.694308,0.709965,0.7898305084745763,0.12837837837837837,29.661813640548267,1214.3014828341854,3.813362200623086,4061.626577901336,2.0,38.0,2.631578947368421,0.0,0.0,97.36842105263158,2.631578947368421
leaf,0.981403,0.982637,0.962523,0.956705,0.971052,0.95005,0.965287,0.9144542772861357,0.047058823529411764,2.896017258280977,0.9506031568627452,0.6645642825587837,0.5788870751408176,30.0,16.0,0.0,0.0,0.0,93.75,6.25
trains,0.56,0.8,0.8,0.68,0.84,0.52,0.12,0.8888888888888888,3.3,,,,,2.0,33.0,54.54545454545454,70.0,15.454545454545453,0.0,100.0
jEdit_4.0_4.2,0.821082,0.813513,0.710448,0.709408,0.753785,0.786647,0.81234,0.6996336996336996,0.032846715328467155,38.33340036456236,57.84899635036502,4.430037309543377,112.53756290426867,2.0,9.0,11.11111111111111,0.0,0.0,88.88888888888889,11.11111111111111
prnn_fglass,0.941979,0.936891,0.75976,0.780135,0.789054,0.877536,0.904296,0.9765258215962441,0.04672897196261682,9.908544271023441,11.26585160955348,1.6525943876045217,0.6895407776407763,6.0,10.0,0.0,0.0,0.0,90.0,10.0
fri_c0_100_50,0.748499,0.696279,0.788715,0.759504,0.803521,0.741297,0.673069,-0.049475457898990216,0.51,-1.171766639930276,-2.851615771439487e-10,0.01034254780050708,1.000000000350046,0.0,51.0,0.0,0.0,0.0,100.0,0.0
arsenic-male-bladder,0.82317,0.83859,0.834346,0.769548,0.846924,0.842679,0.824416,0.3172043010752688,0.008944543828264758,53.0745329896186,6776.154964221792,5.057180180303671,52177.72971278282,0.0,5.0,0.0,0.0,0.0,80.0,20.0
analcatdata_draft,0.555436,0.64535,0.625468,0.492515,0.572231,0.460844,0.535086,,0.01366120218579235,-1.1999999999999993,183.25,0.0,105.65500067023703,,5.0,0.0,0.546448087431694,0.1092896174863388,40.0,60.0
twonorm,0.99541,0.971372,0.946172,0.984454,0.997905,0.994335,0.98569,0.488984997972699,0.002837837837837838,-0.06388078544223903,0.0023114067567567473,0.011570591325473938,1.0925789909126522,2.0,21.0,4.761904761904762,0.0,0.0,95.23809523809523,4.761904761904762
analcatdata_germangss,0.5375,0.678833,0.579225,0.528754,0.596087,0.428825,0.715996,0.9022556390977443,0.015,11.936416805970012,15.097499999999993,3.2218216628239107,30.025686476264408,4.0,6.0,33.33333333333333,0.0,0.0,16.666666666666664,83.33333333333334
puma8NH,0.907705,0.914348,0.861662,0.839673,0.85656,0.863281,0.839981,-5.561634914418263,0.0010986328125,-1.1821893669269807,0.13147826235622828,-0.02177730369983057,1.426134273082431,0.0,9.0,0.0,0.0,0.0,100.0,0.0
profb,0.542132,0.636176,0.579052,0.728496,0.657476,0.460185,0.650107,0.5454545454545454,0.01488095238095238,-0.3634711692420626,28.800744047619048,0.3391636553707378,5.649864683884341,2.0,10.0,10.0,99.10714285714286,17.857142857142858,50.0,50.0
chscase_census6,0.469671,0.45706,0.487105,0.511322,0.472289,0.535023,0.481032,-0.7413909774436086,0.0175,18.621914971641978,11.102051071428571,3.237951762879078,5.7705580924204956,0.0,7.0,0.0,0.0,0.0,100.0,0.0
stock,0.996988,0.946794,0.833817,0.905272,0.836157,0.991473,0.992455,0.47497365648050577,0.010526315789473684,-0.7961194962910351,41.61005915789473,-0.008787011682860977,7.085747772907254,0.0,10.0,0.0,0.0,0.0,100.0,0.0
fri_c1_100_25,0.892613,0.890807,0.688077,0.682858,0.682457,0.716981,0.821156,-0.09779439888888883,0.26,-1.1067805258625716,-1.5473070181696822e-10,-0.052514005600623095,0.9999999992124979,0.0,26.0,0.0,0.0,0.0,100.0,0.0
volcanoes-a2,0.913987,0.935613,0.910613,0.629825,0.941822,0.886951,0.900899,0.9475955610357584,0.0024645717806531116,-0.005685705171393884,335.8156204651875,0.543409206501085,194.8813829397792,5.0,4.0,0.0,0.0,0.0,75.0,25.0
fri_c2_100_10,0.884444,0.894141,0.772121,0.803434,0.762424,0.681212,0.833333,-0.05580917017171747,0.11,-0.8873727255853247,1.0969327334343534e-09,0.11144929055475318,0.9999999998049834,0.0,11.0,0.0,0.0,0.0,100.0,0.0
visualizing_slope,0.969499,0.991285,0.96732,0.973856,0.958606,0.971678,0.95098,-1.204514348837209,0.09090909090909091,-0.676609298366134,27.731163827272727,0.4636720349026776,9.404939293408665,0.0,4.0,0.0,0.0,0.0,100.0,0.0
hypothyroid,0.999108,0.989846,0.933521,0.608441,0.949615,0.78823,0.995582,0.8562715460090162,0.007953340402969246,51.41313506551009,46.43668969641138,3.5691918824691085,19.05387758896556,4.0,30.0,66.66666666666666,100.0,5.358784022622834,23.333333333333332,76.66666666666667
fri_c3_100_25,0.754343,0.768485,0.467677,0.590303,0.532929,0.657374,0.793939,-0.09034021343434345,0.26,-0.9780256964079063,-3.1117308231467437e-10,0.10431379090227841,1.0000000000767602,0.0,26.0,0.0,0.0,0.0,100.0,0.0
pyrim,0.928357,0.912228,0.825206,0.962866,0.879595,0.877719,0.905476,0.8929589041095891,0.3783783783783784,5.820227229738703,0.25854536679536677,1.9296523303387358,0.18799576543541685,0.0,28.0,0.0,0.0,0.0,100.0,0.0
analcatdata_negotiation,0.892191,0.891026,0.938811,0.880828,0.935897,0.869172,0.914044,-0.21978021978021978,0.06521739130434782,0.03267208824208241,47.21041567043381,-0.494786805412908,11.821772023988377,0.0,6.0,16.666666666666664,18.478260869565215,4.710144927536232,83.33333333333334,16.666666666666664
banknote-authentication,0.999833,0.986552,0.91731,0.984877,0.939013,0.999462,0.994585,0.9992706053975201,0.0036443148688046646,0.14479469144119225,0.6405147434402338,-0.1192914188861707,3.7807131392201496,2.0,5.0,20.0,0.0,0.0,80.0,20.0
auto93,0.914286,0.880296,0.841626,0.884236,0.85468,0.886946,0.815025,-6.502173913043476,0.24731182795698925,0.6748269991194255,668.6547877387037,0.447686422590198,105.71716773116947,0.0,23.0,8.695652173913043,11.827956989247312,0.6545114539504442,73.91304347826086,26.08695652173913
regime_alimentaire,0.9600818057870019,0.9406150583244962,0.9084229662172398,0.890546886835328,0.9244811392213301,0.8500984699287987,0.9460687774579609,0.7263681592039801,0.09900990099009901,0.2773142849935053,74.93069306930694,0.24633126989450063,23.71266564769083,2.0,20.0,10.0,8.415841584158416,0.42079207920792083,15.0,85.0
analcatdata_broadway,0.989978,0.989978,0.971088,0.991808,0.962592,0.973992,0.989978,0.5638297872340425,0.08421052631578947,-1.1331442024600327,27.334509028713224,-0.0762351145046031,7.107868057432221,5.0,8.0,12.5,6.315789473684211,1.1842105263157896,37.5,62.5
cleveland-nominal,0.74591,0.770053,0.805017,0.728714,0.80347,0.785335,0.759602,0.36423841059602646,0.026402640264026403,,,,,5.0,8.0,37.5,0.0,0.0,0.0,100.0
fri_c2_1000_25,0.960436,0.969057,0.739805,0.756649,0.74076,0.730117,0.945972,-0.1636539761573579,0.026,-1.1157441782208553,1.1987038651174301e-10,0.004914054763403077,1.000000000196894,0.0,26.0,0.0,0.0,0.0,100.0,0.0
Titanic,0.758486,0.675188,0.710421,0.700993,0.706719,0.759561,0.713563,0.5668181818181818,0.001817355747387551,4.826956169004245,-0.0002690595184002733,0.6845267477201737,1.0004597288403279,2.0,4.0,25.0,0.0,0.0,75.0,25.0
letter,0.999548,0.99955,0.9551702531139775,0.98192,0.956402,0.998639,0.996984,0.04090204510225511,0.00085,0.6977379005298701,5.925465624999998,0.29029703410184804,2.273771145446362,26.0,17.0,0.0,0.0,0.0,94.11764705882352,5.88235294117647
fri_c4_1000_100,0.907594,0.974181,0.701231,0.692781,0.704216,0.551904,0.93247,-0.13009830866150246,0.101,-1.1302079364277242,1.4409860017840375e-10,0.030275015157374054,1.0000000000698714,0.0,101.0,0.0,0.0,0.0,100.0,0.0
breastTumor,0.515813,0.615361,0.663956,0.622892,0.660492,0.541566,0.60502,-10.628070175438596,0.03496503496503497,-0.2733445398014265,37.7972027972028,0.024551543730387697,10.040961268041494,0.0,10.0,40.0,3.146853146853147,0.3146853146853147,20.0,80.0
cm1_req,0.518478,0.350362,0.493478,0.531884,0.480072,0.506159,0.495652,0.9886363636363636,0.10112359550561797,8.658771268123948,0.7142857142857142,2.617938124918047,0.5354428421286528,2.0,9.0,11.11111111111111,0.0,0.0,77.77777777777779,22.22222222222222
parity5,0.0,0.160156,-1.0,0.111328,0.121094,0.160156,0.285156,0.5483870967741935,0.1875,,,,,2.0,6.0,100.0,0.0,0.0,0.0,100.0
thyroid-allrep,0.827145,0.782203,0.806037,0.774592,0.810071,0.802943,0.825698,0.4294390853876384,0.009642857142857142,67.68217904400375,46.566607194523804,4.054667134348194,17.836509114546317,5.0,27.0,74.07407407407408,0.0,0.0,22.22222222222222,77.77777777777779
boston,0.94902,0.912667,0.81819,0.903895,0.866174,0.930227,0.936486,-3.3724752475247524,0.02766798418972332,4.088607750697033,76.98965006916998,0.6901158740618584,29.016042412909933,0.0,14.0,7.142857142857142,0.0,0.0,85.71428571428571,14.285714285714285
kidney,0.869097,0.720833,0.767361,0.720486,0.779167,0.728819,0.859722,0.636,0.09210526315789473,0.6924100218311142,41.50328947368421,0.5352883073086805,39.34560645196235,0.0,7.0,28.57142857142857,0.0,0.0,57.14285714285714,42.857142857142854
volcanoes-e5,0.793993,0.8171,0.491279,0.501832,0.822131,0.763133,0.787181,0.9504950495049505,0.0035971223021582736,-0.4514540786135571,338.41147065467663,0.39925482463142836,188.57474661480381,5.0,4.0,0.0,0.0,0.0,75.0,25.0
analcatdata_bondrate,0.622631,0.366304,0.366304,0.591114,0.516952,0.712848,0.427117,0.375,0.19298245614035087,3.901528001533743,607880.1765350878,1.2828319970010231,788385.2172720972,5.0,11.0,9.090909090909092,1.7543859649122806,0.1594896331738437,36.36363636363637,63.63636363636363
kr-vs-kp,0.999129,0.966335,0.981852,0.979896,0.951582,0.992767,0.992434,0.9990610328638497,0.011576971214017523,,,,,2.0,37.0,94.5945945945946,0.0,0.0,0.0,100.0
fri_c0_1000_50,0.924364,0.951757,0.916999,0.879744,0.917287,0.746919,0.899922,-0.10078700418058066,0.051,-1.1818489397436518,-2.6366713310781793e-11,-0.008240981819828066,0.9999999999892539,0.0,51.0,0.0,0.0,0.0,100.0,0.0
Smartphone-Based_Recognition_of_Human_Activities,0.997963,0.994426,0.963296,0.987204,0.983185,0.988278,0.998519,0.9720670391061452,0.37777777777777777,0.9643191727552176,-0.48436279011119754,0.4862189546745407,0.2925302998946575,6.0,68.0,0.0,0.0,0.0,97.05882352941177,2.941176470588235
GAMETES_Epistasis_3-Way_20atts_0.2H_EDM-1_1,0.576898,0.533403,0.53018,0.523716,0.52686,0.572812,0.50497,0.9993746091307066,0.013125,,,,,2.0,21.0,4.761904761904762,0.0,0.0,0.0,100.0
haberman,0.657284,0.656845,0.654458,0.579918,0.653333,0.617558,0.649328,0.7868852459016393,0.013071895424836602,5.570741938126849,28.24183006535949,1.5651639804604582,8.996552927775925,2.0,4.0,25.0,0.0,0.0,50.0,50.0
meta_batchincremental.arff,0.735032,0.634534,0.413985,0.621002,0.641028,0.600071,0.609959,0.4657534246575342,0.8513513513513513,13.385613607973555,54.72114799237141,1.747066690624849,309.36970077237544,4.0,63.0,0.0,0.0,0.0,98.4126984126984,1.5873015873015872
elusage,0.944892,0.966398,0.961022,0.905914,0.961022,0.935484,0.925403,-11.468629629629627,0.05454545454545454,-0.6787383023354868,48.546654545454544,0.4092404404057256,19.77623566495877,0.0,3.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333
bank32nh,0.879267,0.822659,0.848426,0.788705,0.864414,0.623299,0.862361,0.8850070675131241,0.0040283203125,1.0232762582891415,1.1675841643547291,0.6613520794419407,0.9419610874745376,0.0,33.0,0.0,0.0,0.0,100.0,0.0
chscase_whale,0.988142,0.97817,0.9871794871794872,0.987179,0.980827,0.991183,0.987064,,,,,,,,,,,,,
mfeat-morphological,0.952387,0.956401,0.947905,0.948282,0.952146,0.952874,0.956024,0.9954977488744372,0.0035,-0.536236922624337,1052.6997316402776,0.5315671843447396,630.90708251402,10.0,7.0,0.0,0.0,0.0,85.71428571428571,14.285714285714285
visualizing_hamster,0.726515,0.503788,0.363636,0.449242,0.409091,0.6125,0.656818,0.5044822777777778,0.0821917808219178,0.11555771791964978,1.7703779718721462,0.4765127234953619,0.7742236322191189,0.0,6.0,0.0,0.0,0.0,100.0,0.0
rabe_131,1.0,0.996716,0.995074,0.970443,0.996716,0.968801,1.0,0.9387755102040817,0.12,0.4806655263371037,995.4033333333333,0.3656993461144598,147.7579431276023,0.0,6.0,0.0,0.0,0.0,100.0,0.0
PieChart4,0.944141,0.910755,0.495506,0.613632,0.822586,0.869266,0.911412,,,,,,,,,,,,,
sleep,0.669801,0.743992,0.789969,0.745559,0.780042,0.72466,0.710031,-0.47540983606557374,0.12903225806451613,9.561562499001095,82.82389954115683,2.1025516609370163,250.44718318606826,0.0,8.0,0.0,17.741935483870968,2.4193548387096775,100.0,0.0
ringnorm,0.991182,0.823147,0.994173,0.78944,0.997618,0.91957,0.989387,0.4983105825111502,0.002837837837837838,1.5057733485938525,204.23425000000032,-0.23381089497140278,1503.282562109732,2.0,21.0,4.761904761904762,0.0,0.0,95.23809523809523,4.761904761904762
robot-failures-lp4,0.971234,0.837598,0.899149,0.701724,0.930161,0.852369,0.925086,0.8017241379310345,0.7777777777777778,26.069234751783668,-28.193067426400763,-1.25195503849445,143.90102240719645,3.0,91.0,0.0,0.0,0.0,98.9010989010989,1.098901098901099
lsvt,0.874291,0.730017,0.532596,0.925595,0.738237,0.866071,0.872449,0.336,2.4682539682539684,27.372277172280775,-137218838.84791097,2.044107037254363,121542465.0174774,2.0,311.0,0.3215434083601286,0.0,0.0,99.67845659163987,0.3215434083601286
mux6,1.0,0.547119,0.710693,0.708984,0.726318,0.993164,0.82666,0.31496062992125984,0.0546875,,,,,2.0,7.0,100.0,0.0,0.0,0.0,100.0
clean2,0.999985,1.0,0.998841,1.0,0.904972,0.996964,1.0,0.9998484159466424,0.025613822370415276,1.6805294174844294,-25.466439144618125,0.4688635554464414,96.43158754457099,2.0,169.0,0.591715976331361,0.0,0.0,99.40828402366864,0.591715976331361
fri_c0_100_5,0.911836,0.9062,0.9456521739130435,0.892512,0.948873,0.933575,0.870974,-0.007891897050505388,0.06,-0.9807632643793867,-7.253333315221377e-10,0.0024185977273379184,1.0000000006047896,0.0,6.0,0.0,0.0,0.0,100.0,0.0
Australian,0.935772,0.899104,0.665979,0.870978,0.825422,0.908004,0.921029,0.5195936139332366,0.021739130434782608,0.19032997589682876,64.2927536231884,0.9097524103570412,51.82219374450552,2.0,15.0,33.33333333333333,0.0,0.0,40.0,60.0
fri_c0_250_25,0.918459,0.886393,0.853719,0.866839,0.906746,0.800979,0.857015,-0.15648492259036098,0.104,-1.1778180458574536,1.4790000183536512e-10,-0.014717871718644067,1.00000000056438,0.0,26.0,0.0,0.0,0.0,100.0,0.0
kin8nm,0.932649,0.899491,0.756794,0.746828,0.819274,0.932526,0.822725,0.7021717776918557,0.0010986328125,-1.1178374121086188,0.08156286171485248,0.007879774624360248,0.8339842123716272,0.0,9.0,0.0,0.0,0.0,100.0,0.0
parkinsons,0.964498,0.98271,0.475978,0.780612,0.830428,0.973923,0.918722,0.9536082474226805,0.11794871794871795,5.519079859435583,22.19798414358974,1.6572699005998621,8.317174896333356,2.0,23.0,4.3478260869565215,0.0,0.0,95.65217391304348,4.3478260869565215
aids,0.416,0.7064,0.4528,0.3208,0.5104,0.4128,0.6656,0.9795918367346939,0.1,4.5795333179328415,2216203.8200000003,2.1799995968072876,3194304.4865301736,2.0,5.0,20.0,0.0,0.0,40.0,60.0
kc2,0.80751,0.802455,0.730166,0.65827,0.773314,0.778178,0.825267,0.9942418426103646,0.0421455938697318,130.1084304346329,977.893699142492,8.953093281768092,5875.729587941182,2.0,22.0,4.545454545454546,0.0,0.0,95.45454545454545,4.545454545454546
volcanoes-e1,0.803111,0.816839,0.489266,0.495004,0.849699,0.792621,0.776553,0.9543147208121827,0.0033812341504649195,-0.33610645115013366,339.65973769258966,0.4117443142510463,188.49832610439663,5.0,4.0,0.0,0.0,0.0,75.0,25.0
mfeat-pixel,0.995917,0.993959,0.978801,0.99305,0.983383,0.996656,0.982364,0.9954977488744372,0.1205,,,,,10.0,241.0,0.0,0.0,0.0,0.0,100.0
PizzaCutter1,0.885121,0.863837,0.483864,0.556161,0.798866,0.815255,0.820371,0.8545454545454545,0.057488653555219364,62.668220982044204,962.8441162039497,5.662196296753446,3961.8506584375646,2.0,38.0,2.631578947368421,0.0,0.0,97.36842105263158,2.631578947368421
PieChart3,0.827088,0.778351,0.489946,0.49947,0.752216,0.762979,0.787622,0.7695167286245354,0.035283194057567316,176.7379658555838,1405.3119789706143,9.135780975253391,12424.52286001233,2.0,38.0,2.631578947368421,0.0,0.0,97.36842105263158,2.631578947368421
Engine1,0.978821,0.978834,0.949923,0.905114,0.949922,0.96964,0.967631,0.9554973821989529,0.015665796344647518,0.7578389526901097,70.61559789765013,0.014605288976145747,1.587623949043762,3.0,6.0,0.0,0.0,0.0,83.33333333333334,16.666666666666664
breast-cancer-dropped-missing-attributes-values,0.684776,0.6815,0.708774,0.707955,0.725151,0.678603,0.69646,0.5688405797101449,0.036101083032490974,,,,,2.0,10.0,40.0,0.0,0.0,0.0,100.0
fri_c0_100_25,0.8104,0.8316,0.8284,0.8158,0.804,0.7704,0.72,-0.2095773130101007,0.26,-1.1305727471546594,4.657999965995215e-10,-0.011057127946663957,0.9999999990765542,0.0,26.0,0.0,0.0,0.0,100.0,0.0
fri_c2_500_50,0.931393,0.955469,0.773675,0.718735,0.773526,0.636809,0.920719,-0.1268945054000004,0.102,-1.1476523531550133,1.186981529806204e-10,0.015138124990254022,0.9999999999150228,0.0,51.0,0.0,0.0,0.0,100.0,0.0
monks-problems-2,0.809027,0.539794,0.490998,0.5,0.548863,0.528254,0.532432,0.44,0.011647254575707155,,,,,2.0,7.0,42.857142857142854,0.0,0.0,0.0,100.0
disclosure_x_bias,0.506675,0.539277,0.578087,0.568495,0.578919,0.505866,0.509651,-24649.664024205795,0.006042296072507553,0.77217973122241,18327.82970765068,0.3499378390795331,6022.570676034265,0.0,4.0,0.0,0.0,0.0,100.0,0.0
gas-drift,0.99957,0.996181,0.763478,0.994016,0.773859,0.998538,0.999014,0.5919907973254727,0.009273903666427032,1037.1486781860235,2791.4633316684453,4.620309058926347,2729.3079146825166,6.0,129.0,0.0,0.0,0.0,99.2248062015504,0.7751937984496124
ailerons,0.950163,0.930799,0.794494,0.889502,0.775385,0.93803,0.939884,0.9997911920866972,0.002981818181818182,894.5643142034918,-0.8296802948115359,-4.4797897489924745,7.406135399325283,0.0,41.0,0.0,0.0,0.0,100.0,0.0
fri_c2_500_25,0.928177,0.934748,0.674544,0.659078,0.674862,0.636496,0.9026,-0.13332366445771499,0.052,-1.0718365432354031,2.2658156712252327e-11,-0.0017770845697100285,1.0000000001076124,0.0,26.0,0.0,0.0,0.0,100.0,0.0
fri_c4_250_100,0.823474,0.944545,0.671883,0.606688,0.663571,0.589675,0.877045,-0.1306808372128511,0.404,-1.1185475465578008,7.695881286887905e-12,0.030787084988409267,0.9999999999200034,0.0,101.0,0.0,0.0,0.0,100.0,0.0
energy-efficiency,0.97614,0.964791,0.810926,0.951491,0.946608,0.939686,0.981281,0.5045632333767927,0.013020833333333334,-1.1586230882994204,147.42169270833332,0.07401146360227737,22.692301055450425,37.0,10.0,0.0,0.0,0.0,80.0,20.0
fri_c3_100_50,0.78056,0.927844,0.472835,0.55539,0.612479,0.528014,0.85017,-0.04699055278787885,0.51,-1.0474418594175121,2.4935098405115096e-10,-0.0011398926473532773,0.9999999999751749,0.0,51.0,0.0,0.0,0.0,100.0,0.0
fri_c3_500_50,0.901116,0.9607,0.657907,0.64722,0.664568,0.565896,0.902515,-0.09027406064809636,0.102,-1.0285869306434712,-5.675412191416675e-11,0.07698417989912405,0.9999999999465955,0.0,51.0,0.0,0.0,0.0,100.0,0.0
GesturePhaseSegmentationProcessed,0.900859,0.855629,0.713206,0.711788,0.707941,0.856532,0.847445,0.960595623987034,0.003342449103615922,47.822308711805,0.0013097793076762383,0.9535035837473849,0.005340125416350268,5.0,33.0,0.0,0.0,0.0,96.96969696969697,3.0303030303030303
LED-display-domain-7digit,0.927325,0.951193,0.911986,0.94186,0.942845,0.940742,0.94114,0.7214428857715431,0.016,-1.1173581845410985,0.6565714285714286,-0.7264117116188794,0.45729419529310666,10.0,8.0,0.0,0.0,0.0,87.5,12.5
wine-quality-red,0.865797,0.857009,0.723954,0.723859,0.734335,0.751232,0.80289,0.44680851063829785,0.0075046904315197,8.308796268227402,8.134219224515316,1.6831140163057094,4.392625484509788,6.0,12.0,0.0,0.0,0.0,91.66666666666666,8.333333333333332
cnae-9,0.995239,0.982662,0.89183,0.990437,0.992506,0.975707,0.989547,0.0,0.7935185185185185,636.4605777891991,0.008213265835929394,23.162381936883794,0.06570782004442138,9.0,857.0,0.0,0.0,0.0,99.88331388564761,0.11668611435239205
one-hundred-plants-shape,0.980945,0.974213,0.424242,0.970305,0.910519,0.939524,0.97314,0.9380863039399625,0.040625,3.803355927726974,0.00060469328125,1.3909364214830489,0.00029219977471656026,100.0,65.0,0.0,0.0,0.0,98.46153846153847,1.5384615384615385
analcatdata_bankruptcy,0.9248,0.9536,0.8816,0.9264,0.8832,0.9472,0.9056,0.9795918367346939,0.12,8.450045797531713,-2.5883520000000004,0.06994257537054693,37.44842488135768,2.0,6.0,16.666666666666664,0.0,0.0,83.33333333333334,16.666666666666664
mc1,0.91567,0.933126,0.864139,0.499947,0.889872,0.942841,0.947569,0.9856312731114633,0.004120008451299387,826.5262774688995,360.55809570540066,17.770067223247146,12709.178607947197,2.0,39.0,2.564102564102564,0.0,0.0,97.43589743589743,2.564102564102564
cjs,1.0,1.0,0.989096,0.999979,0.971962,0.594465,0.999999,0.998211091234347,0.01251788268955651,5.185923235131458,46.42873106688185,1.2712246457439738,27.70324490917017,6.0,35.0,0.0,99.96423462088698,69.58920907418762,91.42857142857143,8.571428571428571
fri_c0_500_5,0.943383,0.916015,0.924655,0.866102,0.928319,0.925903,0.915863,-0.12169187274549041,0.012,-1.0758719471973675,-4.978666613419947e-10,0.017598479158334415,0.999999999690594,0.0,6.0,0.0,0.0,0.0,100.0,0.0
fri_c2_100_25,0.885149,0.939208,0.780906,0.705426,0.783762,0.696654,0.855977,-0.20717392305119212,0.26,-1.113879529282153,-1.7413072503678573e-11,-0.016112220262854377,1.000000000206814,0.0,26.0,0.0,0.0,0.0,100.0,0.0
pc2,0.820053,0.715251,0.482573,0.5,0.776637,0.820033,0.516369,0.9917680744452398,0.006620146716765074,682.048249463358,80.89554874654578,17.150831698501054,840.5525122476186,2.0,37.0,2.7027027027027026,0.0,0.0,97.2972972972973,2.7027027027027026
meta,0.921081,0.765432,0.475309,0.820675,0.800789,0.767268,0.713901,-172.87535294117646,0.041666666666666664,14.869166481428394,776.4772599464287,2.201022196586061,1038.7237629514702,0.0,22.0,0.0,50.0,4.338842975206612,90.9090909090909,9.090909090909092
white-clover,0.825263,0.817895,0.747368,0.814737,0.778947,0.761053,0.781053,0.6129032258064516,0.5079365079365079,5.168147517821569,13.591969429747207,1.283048348621067,9.669233684274653,4.0,32.0,0.0,0.0,0.0,84.375,15.625
lupus,0.713462,0.75989,0.794505,0.784615,0.81044,0.747802,0.79011,0.47674418604651164,0.04597701149425287,2.602874336836059,51.41436781609196,1.2327888171003378,32.028810065034314,2.0,4.0,25.0,0.0,0.0,75.0,25.0
ionosphere,0.982169,0.935238,0.924956,0.919083,0.936349,0.925767,0.967954,0.28,0.09971509971509972,0.3611275170064943,0.24769699765376238,-0.5844736447200445,0.5104205012204398,2.0,35.0,2.857142857142857,0.0,0.0,97.14285714285714,2.857142857142857
GesturePhaseSegmentationRAW,0.99697,0.998405,0.700491,0.767841,0.701143,0.984333,0.991,,,,,,,,,,,,,
